Date,Time,Duration in seconds,Sleep stage
2025.10.27 06:28:43,06:28:43,2040,awake
2025.10.27 07:02:43,07:02:43,3240,light
2025.10.27 07:56:43,07:56:43,60,awake
2025.10.27 07:57:43,07:57:43,480,light
2025.10.27 08:05:43,08:05:43,1080,rem
2025.10.27 08:23:43,08:23:43,60,awake
2025.10.27 08:24:43,08:24:43,960,light
2025.10.27 08:40:43,08:40:43,60,awake
2025.10.27 08:41:43,08:41:43,600,light
2025.10.27 08:51:43,08:51:43,720,rem
2025.10.28 02:30:33,02:30:33,660,light
2025.10.28 02:41:33,02:41:33,1080,deep
2025.10.28 02:59:33,02:59:33,4680,light
2025.10.28 04:17:33,04:17:33,60,awake
2025.10.28 04:18:33,04:18:33,840,light
2025.10.28 04:32:33,04:32:33,60,awake
2025.10.28 04:33:33,04:33:33,540,light
2025.10.28 04:42:33,04:42:33,1020,deep
2025.10.28 04:59:33,04:59:33,3180,light
2025.10.28 05:52:33,05:52:33,60,awake
2025.10.28 05:53:33,05:53:33,840,light
2025.10.28 06:07:33,06:07:33,420,awake
2025.10.28 06:14:33,06:14:33,420,light
2025.10.28 06:21:33,06:21:33,1260,rem
2025.10.28 06:42:33,06:42:33,1020,light
2025.10.28 20:59:50,20:59:50,180,light
2025.10.28 21:02:50,21:02:50,3780,deep
2025.10.28 22:05:50,22:05:50,600,awake
2025.10.28 22:15:50,22:15:50,2040,light
2025.10.28 22:49:50,22:49:50,540,deep
2025.10.28 22:58:50,22:58:50,960,light
2025.10.28 23:14:50,23:14:50,480,deep
2025.10.28 23:22:50,23:22:50,60,awake
2025.10.28 23:23:50,23:23:50,2700,light
2025.10.29 00:08:50,00:08:50,9660,awake
2025.10.29 02:49:50,02:49:50,600,light
2025.10.29 02:59:50,02:59:50,480,deep
2025.10.29 03:07:50,03:07:50,120,awake
2025.10.29 03:09:50,03:09:50,1200,light
2025.10.29 03:29:50,03:29:50,3480,awake
2025.10.29 04:27:50,04:27:50,900,light
